Month,Salaries and Wages,Interest,Pension,Samurdhi,Other,Tax revenue,Non-tax revenue,Domestic Debt,Foreign Debt,Exchange Rate,Openness of economy,Unemployment Rate,NCPI,Inflation,Strikes,Crude oil prices,Population Structure,Monetary Policy,Natural Disasters,Easter attack
2018- Jun,53350,57520,16178,3280,20368,131987,9848,5791845,5202603,159.0711,1.776161656,4.2,126.5,1.8,5,71.98,81.48,1,1,0
2018- Jul,54515,117309,16453,3268,31652,137970,21202,5737653,5221313,159.3375,1.634830414,4.1,126.6,0.1,1,72.67,81.471,1,1,0
2018- Aug,54273,59684,16440,3257,32079,150424,11876,5776338,5275668,160.3539,1.819066898,4.2,125.4,-0.9,7,71.08,81.462,1,1,0
2018- Sep,44599,98764,16563,3251,30031,144488,30089,5802289,5469099,164.4153,1.675890826,4.4,124.4,-0.8,4,75.36,81.452,1,0,0
2018- Oct,52876,54006,16540,3269,46037,148696,24380,5898955,5768354,171.2249,1.922684098,4.6,124.9,0.4,3,76.73,81.443,1,1,0
2018- Nov,55201,88027,17006,3261,37063,160590,19743,5949185,5910460,176.8496,1.801347489,4.69,127.7,2.2,4,62.32,81.434,0,1,0
2018- Dec,48099,42932,16785,3231,27623,124860,24882,6017992,5959547,180.098,1.678536869,4.71,127.1,-0.5,5,53.96,81.424,0,1,0
2019- Jan,54008,109387,17104,3254,29242,139558,10364,6202902,5736792,182.1277,1.594740391,4.7,127.3,0.2,6,56.58,81.415,0,1,0
2019- Feb,54702,49396,18658,3252,40072,141586,12068,6263240,5739287,178.7331,1.459993884,4.72,126.7,-0.5,3,61.13,81.406,0,0,0
2019- Mar,55211,81837,18975,3251,37664,125397,13234,6240763,6030553,178.4298,1.520802181,4.79,126.4,-0.2,2,63.79,81.396,0,0,0
2019- Apr,54521,56440,19282,3246,41034,144989,10920,6209975,5908742,174.8012,1.999248215,4.9,127.3,0.7,2,68.58,81.387,0,0,1
2019- May,55063,98813,13475,3241,37670,153450,19198,6291523,5869671,176.4447,1.856087409,5.05,128.7,1.1,1,66.83,81.378,1,0,1
2019- Jun,56910,58776,18647,3237,23910,106657,10583,6360288,6239555,176.5889,1.291328413,5.15,129.2,0.4,5,59.76,81.368,1,0,1
2019- Jul,57758,106902,18181,3232,37377,132798,11142,6453102,6192790,175.9902,1.718477717,5.1,129.4,0.2,4,61.48,81.359,1,0,1
2019- Aug,58277,38061,19189,4324,36955,160967,12125,6523555,6339927,177.9705,1.524067797,4.84,129.7,0.2,3,57.67,81.35,1,0,1
2019- Sep,59669,109920,20229,4429,35079,195372,13204,6585658,6345790,180.7752,1.793352904,4.56,130.6,0.7,14,60.04,81.341,1,1,1
2019- Oct,59474,55043,20570,4392,42075,149247,13598,6557320,6393232,181.4511,1.857873734,4.5,131.9,1,3,57.27,81.332,1,1,1
2019- Nov,59235,82866,21684,4436,34368,162981,10272,6548529,6357128,180.3729,1.778810789,4.81,132.9,0.8,2,60.4,81.323,1,0,1
2019- Dec,61624,53911,21675,4366,45576,121922,19266,6629104,6402439,181.2539,1.784378438,5.3,135,1.6,2,63.35,81.315,1,1,1
2020- Jan ,62045,90078,20946,4403,35180,128140,10457,6795551,6404937,181.4036,1.726838491,5.7,137,1.5,2,61.63,81.306,1,1,1
2020- Feb,62524,53284,20447,4396,33979,139246,39857,6828200,6388082,181.5628,1.58063537,5.8,137,0,1,53.35,81.298,1,1,1
2020- Mar,65166,119788,38124,4393,33204,73950,13624,7123109,6646313,185.0567,1.835770871,5.66,135.2,-1.3,2,32.2,81.289,1,0,1
