Month,Capital and net lending,Total Expenditure,Tax revenue,Non-tax revenue,Domestic Debt,Foreign Debt,Outstanding Government Debt,Monthly Average Exchange Rates (USD),Openness of economy,Unemployment rates,Inflation HL,Inflation Core,Crude oil prices (USD),Monetary Policy,Natural disasters,Population structure,No.of total Strikes,Easter bombing
2018- Aug,45844,165733,150424,11876,5776338,5275668,11052006,160.3539,1.819066898,4.2,-0.9,0.5,73.13,1,1,81.462,7,0
2018- Sep,68077,193207,144488,30089,5802289,5469099,11271388,164.4153,1.675890826,4.4,-0.8,0.5,78.86,1,0,81.452,4,0
2018- Oct,41751,172727,148696,24380,5898955,5768354,11667309,171.2249,1.922684098,4.6,0.4,0.3,80.47,1,1,81.443,3,0
2018- Nov,65027,200558,160590,19743,5949185,5910460,11859645,176.8496,1.801347489,4.7,2.2,0.2,65.17,0,1,81.434,4,0
2018- Dec,55009,138669,124860,24882,6017992,5959547,11977539,180.098,1.678536869,4.7,-0.5,0,56.46,0,1,81.424,5,0
2019- Jan,40456,212995,139558,10364,6202902,5736792,11939694,182.1277,1.594740391,4.7,0.2,2,59.27,0,1,81.415,6,0
2019- Feb,43423,166081,141586,12068,6263240,5739287,12002527,178.7331,1.459993884,4.7,-0.5,0.8,64.13,0,0,81.406,3,0
2019- Mar,70250,196937,125397,13234,6240763,6030553,12271316,178.4298,1.520802181,4.8,-0.2,0.4,66.41,0,0,81.396,2,0
2019- Apr,57199,174523,144989,10920,6209975,5908742,12118717,174.8012,1.999248215,4.9,0.7,,71.2,0,0,81.387,2,1
2019- May,35994,208262,153450,19198,6291523,5869671,12161194,176.4447,1.856087409,5,1.1,0.3,70.53,1,0,81.378,1,1
2019- Jun,42653,161480,106657,10583,6360288,6239555,12599843,176.5889,1.291328413,5.1,0.4,0,63.3,1,0,81.368,5,1
2019- Jul,83385,223450,132798,11142,6453102,6192790,12645892,175.9902,1.718477717,5.1,0.2,0.3,64,1,0,81.359,4,1
2019- Aug,53211,156806,160967,12125,6523555,6339927,12863482,177.9705,1.524067797,5,0.2,0.2,59.25,1,0,81.35,3,1
2019- Sep,18848,229326,195372,13204,6585658,6345790,12931448,180.7752,1.793352904,4.8,0.7,0.2,62.33,1,1,81.341,14,1
2019- Oct,52665,181553,149247,13598,6557320,6393232,12950552,181.4511,1.857873734,4.5,1,0.3,59.37,1,1,81.332,3,1
2019- Nov,55458,202590,162981,10272,6548529,6357128,12905657,180.3729,1.778810789,4.2,0.8,0.1,62.74,1,0,81.323,2,1
2019- Dec,60594,187152,121922,19266,6629104,6402439,13031543,181.2539,1.784378438,4,1.6,-0.3,65.85,1,1,81.315,2,1
