Month,Tax revenue,Non-tax revenue,Total revenue,Domestic Debt,Foreign Debt,Outstanding Debt,Exchange Rates,Openness of economy,Unemployment rates,NCPI,Crude oil prices,Monetary Policy,Natural disasters,Population structure,Strikes,Salaries and Wages,Interest,Pension,Samurdhi,Other,Total,Capital and net lending
2018- Feb,149254,10619,159873,5724466,4848183,10572649,154.8579,2.160096101,4.6,123.7,65.42,0,0,81.515,2,50275,67253,15700,3286,30328,166842,42024
2018- Mar,134317,23975,158292,5770908,4883190,10654098,155.7288,1.78613343,4.7,122.8,66.45,0,0,81.507,2,50896,57388,15512,3284,37482,164562,28623
2018- Apr,145203,8110,153313,5784661,5304689,11089350,156.1354,2.255816878,4.6,122.9,71.63,1,0,81.498,2,58084,50688,16441,3284,29939,158436,39717
2018- May,142833,13729,156562,5827041,5286268,11113309,157.8994,2.010175363,4.4,124.3,76.65,1,1,81.489,5,52899,62403,15701,3281,24678,158962,51673
2018- Jun,131987,9848,141835,5791845,5202603,10994448,159.0711,1.776161656,4.2,126.5,75.19,1,1,81.48,5,53350,57520,16178,3280,20368,150695,36900
2018- Jul,137970,21202,159172,5737653,5221313,10958966,159.3375,1.634830414,4.1,126.6,74.44,1,1,81.471,1,54515,117309,16453,3268,31652,223196,51850
2018- Aug,150424,11876,162300,5776338,5275668,11052006,160.3539,1.819066898,4.2,125.4,73.13,1,1,81.462,7,54273,59684,16440,3257,32079,165733,45844
2018- Sep,144488,30089,174577,5802289,5469099,11271388,164.4153,1.675890826,4.4,124.4,78.86,1,0,81.452,4,44599,98764,16563,3251,30031,193207,68077
2018- Oct,148696,24380,173076,5898955,5768354,11667309,171.2249,1.922684098,4.6,124.9,80.47,1,1,81.443,3,52876,54006,16540,3269,46037,172727,41751
2018- Nov,160590,19743,180333,5949185,5910460,11859645,176.8496,1.801347489,4.7,127.7,65.17,0,1,81.434,4,55201,88027,17006,3261,37063,200558,65027
2018- Dec,124860,24882,149742,6017992,5959547,11977539,180.098,1.678536869,4.7,127.1,56.46,0,1,81.424,5,48099,42932,16785,3231,27623,138669,55009
2019- Jan,139558,10364,149922,6202902,5736792,11939694,182.1277,1.594740391,4.7,127.3,59.27,0,1,81.415,6,54008,109387,17104,3254,29242,212995,40456
2019- Feb,141586,12068,153654,6263240,5739287,12002527,178.7331,1.459993884,4.7,126.7,64.13,0,0,81.406,3,54702,49396,18658,3252,40072,166081,43423
2019- Mar,125397,13234,138631,6240763,6030553,12271316,178.4298,1.520802181,4.8,126.4,66.41,0,0,81.396,2,55211,81837,18975,3251,37664,196937,70250
2019- Apr,144989,10920,155909,6209975,5908742,12118717,174.8012,1.999248215,4.9,127.3,71.2,0,0,81.387,2,54521,56440,19282,3246,41034,174523,57199
2019- May,153450,19198,172648,6291523,5869671,12161194,176.4447,1.856087409,5,128.7,70.53,1,0,81.378,1,55063,98813,13475,3241,37670,208262,35994
2019- Jun,106657,10583,117240,6360288,6239555,12599843,176.5889,1.291328413,5.1,129.2,63.3,1,0,81.368,5,56910,58776,18647,3237,23910,161480,42653
2019- Jul,132798,11142,143940,6453102,6192790,12645892,175.9902,1.718477717,5.1,129.4,64,1,0,81.359,4,57758,106902,18181,3232,37377,223450,83385
2019- Aug,160967,12125,173092,6523555,6339927,12863482,177.9705,1.524067797,5,129.7,59.25,1,0,81.35,3,58277,38061,19189,4324,36955,156806,53211
2019- Sep,195372,13204,208576,6585658,6345790,12931448,180.7752,1.793352904,4.8,130.6,62.33,1,1,81.341,14,59669,109920,20229,4429,35079,229326,18848
2019- Oct,149247,13598,162845,6557320,6393232,12950552,181.4511,1.857873734,4.5,131.9,59.37,1,1,81.332,3,59474,55043,20570,4392,42075,181553,52665
2019- Nov,162981,10272,173253,6548529,6357128,12905657,180.3729,1.778810789,4.2,132.9,62.74,1,0,81.323,2,59235,82866,21684,4436,34368,202590,55458
2019- Dec,121922,19266,141188,6629104,6402439,13031543,181.2539,1.784378438,4,135,65.85,1,1,81.315,2,61624,53911,21675,4366,45576,187152,60594
